trial,state,value_masked_occ_iou,best_epoch,best_masked_rmse,best_fused_full_psnr,lambda_adv
0,COMPLETE,0.14506318860526296,8,0.05235292970271888,34.239416802550046,0.1
1,COMPLETE,0.07809291310587156,2,0.05029803047674385,34.5872170104387,0.5
2,COMPLETE,0.06358605612086467,1,0.053151909785863816,34.10785913129345,1.0
3,PRUNED,0.04474485274963129,,,,2.0
4,PRUNED,0.0770177487125079,,,,0.8
5,RUNNING,,,,,2.0
6,PRUNED,0.0770177487125079,,,,0.8
7,PRUNED,0.04474485274963129,,,,2.0
8,PRUNED,0.04469840755575735,,,,1.5000000000000002
9,COMPLETE,0.0834514331087988,1,0.05214799254980356,34.27348470810713,1.2000000000000002
10,COMPLETE,0.09643690549103094,2,0.076867053676873,30.903431907666004,0.4
11,COMPLETE,0.14506318860526296,8,0.05235292970271888,34.239416802550046,0.1
12,COMPLETE,0.14506318860526296,8,0.05235292970271888,34.239416802550046,0.1
13,COMPLETE,0.14506318860526296,8,0.05235292970271888,34.239416802550046,0.1
14,PRUNED,0.09643690549103094,,,,0.4
15,COMPLETE,0.14506318860526296,8,0.05235292970271888,34.239416802550046,0.1
16,PRUNED,0.07170917767167034,,,,0.6
17,PRUNED,0.09153816835456823,,,,0.30000000000000004
